Well,Lag_Days,EC_to_Water_Corr,pH_to_Water_Corr
1_1,30,0.03406566559605535,0.35045352560032195
1_1,90,0.36060824344725584,0.3411518814810692
1_1,180,0.22042588269343305,-0.051887173206508874
1_1,360,0.00928601898901295,0.1763040733452399
1_2,30,-0.4417593848203284,0.27534482862509924
1_2,90,-0.5625097810367213,0.21511754218447526
1_2,180,-0.46531368727503347,-0.11092913108551752
1_2,360,0.2613363223655803,-0.7261484548901684
1_3,30,0.03897805221414799,0.06276115053370455
1_3,90,0.20792072116873767,0.2577023533879061
1_3,180,0.19983475816943624,-0.33610423308804
1_3,360,0.26268525910252843,0.181265601702286
2_1,30,0.03340233511558781,0.26362693155820655
2_1,90,0.21088945748261628,0.23018240644246998
2_1,180,0.1268372931546235,0.16096229975176093
2_1,360,-0.47298830835756245,-0.11127749984078891
2_2,30,0.10786743264213049,-0.06302708895864649
2_2,90,-0.15044918460667597,-0.2930375170615268
2_2,180,-0.3531601509992237,-0.2854400978707182
2_2,360,-0.2804334929801083,-0.2193753762579143
2_3,30,0.09551322437247933,0.0627833936981616
2_3,90,-0.12406824716814933,-0.10077600450498464
2_3,180,-0.17802739859298447,-0.4158469325099415
2_3,360,-0.15063231689389087,0.5077704888806578
